village_id,date,ph,turbidity,orp,rainfall,true_diarrhea,true_vomiting,true_fever,report_text
V1,2025-02-12,7.03,3.24,441.0,4.2,1,1,1,Field worker noticed 1 diarrhea cases and 1 fever cases in the village. Source: handpump.
V1,2025-02-13,7.03,3.59,389.1,7.6,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was pond.
V1,2025-02-14,7.04,1.0,372.9,4.7,0,3,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: pond.
V1,2025-02-15,7.1,3.89,331.2,6.9,1,0,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: river.
V1,2025-02-16,7.17,3.02,286.2,6.7,0,4,3,0 persons reported diarrhea and 4 vomiting today. Water source was pond.
V1,2025-02-17,7.17,1.78,370.6,1.0,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V1,2025-02-18,7.18,9.32,397.2,46.9,1,1,0,"There are 1 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water."
V1,2025-02-19,7.25,8.88,385.1,50.2,0,0,0,"There are 0 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking river water."
V1,2025-02-20,7.15,2.13,339.2,4.7,6,2,2,Field worker noticed 6 diarrhea cases and 2 fever cases in the village. Source: pond.
V1,2025-02-21,7.14,3.5,347.0,5.1,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was pond.
V1,2025-02-22,7.13,3.22,432.2,1.5,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V1,2025-02-23,7.12,2.22,308.6,2.2,0,0,0,"There are 0 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water."
V1,2025-02-24,7.18,2.74,384.1,0.3,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water."
V1,2025-02-25,7.15,2.2,262.3,4.9,1,0,2,1 persons reported diarrhea and 0 vomiting today. Water source was river.
V1,2025-02-26,7.03,3.81,317.6,0.9,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking pond water."
V1,2025-02-27,7.04,1.53,386.4,1.0,2,0,0,Today 2 people have loose motions and 0 are vomiting after using pond water.
V1,2025-02-28,7.03,1.81,315.0,6.0,2,1,0,2 persons reported diarrhea and 1 vomiting today. Water source was pond.
V1,2025-03-01,7.0,3.9,330.5,26.1,0,0,0,0 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V2,2025-01-01,7.66,7.44,340.4,41.0,3,0,2,"There are 3 loose motion cases, 0 vomiting cases and 2 fever cases today after drinking handpump water."
V2,2025-01-02,7.63,1.99,372.8,2.2,0,0,0,Today 0 people have loose motions and 0 are vomiting after using handpump water.
V2,2025-01-03,7.67,1.0,304.4,0.9,2,1,0,"There are 2 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking river water."
V2,2025-01-04,7.64,2.66,380.4,2.6,2,0,0,"There are 2 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water."
V2,2025-01-05,7.61,3.49,353.5,7.4,2,1,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: handpump.
V2,2025-01-06,7.62,2.92,433.0,6.5,0,1,1,Today 0 people have loose motions and 1 are vomiting after using handpump water.
V2,2025-01-07,7.58,3.74,286.8,3.7,1,0,1,Today 1 people have loose motions and 0 are vomiting after using handpump water.
V2,2025-01-08,7.51,9.24,395.8,57.6,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V2,2025-01-09,7.47,3.07,383.2,6.3,0,0,2,Field worker noticed 0 diarrhea cases and 2 fever cases in the village. Source: handpump.
V2,2025-01-10,7.53,1.51,332.2,0.9,2,4,1,Field worker noticed 2 diarrhea cases and 1 fever cases in the village. Source: pond.
V2,2025-01-11,7.41,1.8,357.2,4.7,1,2,2,1 persons reported diarrhea and 2 vomiting today. Water source was river.
V2,2025-01-12,7.35,5.35,425.5,4.6,3,0,2,Today 3 people have loose motions and 0 are vomiting after using river water.
V2,2025-01-13,7.37,5.82,326.5,7.0,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V2,2025-01-14,7.36,2.87,375.1,4.3,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V2,2025-01-15,7.3,2.37,382.2,1.1,1,1,1,Today 1 people have loose motions and 1 are vomiting after using handpump water.
V2,2025-01-16,7.26,2.18,343.4,1.2,2,0,1,Field worker noticed 2 diarrhea cases and 1 fever cases in the village. Source: handpump.
V2,2025-01-17,7.2,4.95,405.5,1.6,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V2,2025-01-18,7.19,1.0,371.1,6.9,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: pond.
V2,2025-01-19,7.19,2.68,321.8,5.7,1,0,1,Today 1 people have loose motions and 0 are vomiting after using pond water.
V2,2025-01-20,7.18,1.73,335.0,1.9,3,1,0,Field worker noticed 3 diarrhea cases and 0 fever cases in the village. Source: handpump.
V2,2025-01-21,7.27,1.0,300.3,0.1,1,0,1,Today 1 people have loose motions and 0 are vomiting after using river water.
V2,2025-01-22,7.28,1.69,346.1,3.5,1,1,2,Field worker noticed 1 diarrhea cases and 2 fever cases in the village. Source: pond.
V2,2025-01-23,7.31,7.99,325.1,30.7,3,0,0,3 persons reported diarrhea and 0 vomiting today. Water source was river.
V2,2025-01-24,7.23,2.37,372.1,0.9,1,1,0,1 persons reported diarrhea and 1 vomiting today. Water source was pond.
V2,2025-01-25,7.28,9.17,416.6,56.0,3,1,0,Today 3 people have loose motions and 1 are vomiting after using handpump water.
V2,2025-01-26,7.21,3.86,373.2,0.7,1,0,1,"There are 1 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking pond water."
V2,2025-01-27,7.22,3.27,315.7,3.8,1,1,2,1 persons reported diarrhea and 1 vomiting today. Water source was pond.
V2,2025-01-28,7.23,3.08,336.6,0.9,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking pond water."
V2,2025-01-29,7.28,1.94,279.5,6.4,0,1,1,0 persons reported diarrhea and 1 vomiting today. Water source was handpump.
V2,2025-01-30,7.29,3.83,374.4,4.3,2,1,0,"There are 2 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking river water."
V2,2025-01-31,7.3,3.7,360.9,7.9,1,1,3,1 persons reported diarrhea and 1 vomiting today. Water source was pond.
V2,2025-02-01,7.35,1.84,329.4,6.8,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V2,2025-02-02,7.42,3.88,339.6,23.1,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: river.
V2,2025-02-03,7.35,3.31,373.4,7.1,0,1,1,"There are 0 loose motion cases, 1 vomiting cases and 1 fever cases today after drinking river water."
V2,2025-02-04,7.42,2.53,442.0,6.4,3,0,1,3 persons reported diarrhea and 0 vomiting today. Water source was pond.
V2,2025-02-05,7.37,5.95,308.0,34.2,0,0,0,Today 0 people have loose motions and 0 are vomiting after using pond water.
V2,2025-02-06,7.32,4.46,389.4,3.4,2,0,1,Today 2 people have loose motions and 0 are vomiting after using river water.
V2,2025-02-07,7.33,2.78,448.2,5.2,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V2,2025-02-08,7.3,3.99,316.7,2.8,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V2,2025-02-09,7.27,3.36,334.5,4.6,5,0,0,Today 5 people have loose motions and 0 are vomiting after using pond water.
V2,2025-02-10,7.36,2.5,329.3,2.1,2,0,1,Today 2 people have loose motions and 0 are vomiting after using handpump water.
V2,2025-02-11,7.39,2.98,335.6,4.5,4,1,1,Today 4 people have loose motions and 1 are vomiting after using pond water.
V2,2025-02-12,7.35,2.03,322.4,1.3,2,0,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: pond.
V2,2025-02-13,7.28,3.61,379.9,7.8,1,1,1,1 persons reported diarrhea and 1 vomiting today. Water source was pond.
V2,2025-02-14,7.29,3.24,332.1,2.7,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking river water."
V2,2025-02-15,7.26,3.06,365.1,5.0,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was pond.
V2,2025-02-16,7.36,2.44,292.1,6.2,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking handpump water."
V2,2025-02-17,7.29,5.67,384.9,47.2,1,0,1,"There are 1 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking pond water."
V2,2025-02-18,7.28,3.76,321.6,3.2,0,1,1,0 persons reported diarrhea and 1 vomiting today. Water source was river.
V2,2025-02-19,7.3,1.82,368.3,1.5,4,0,2,Today 4 people have loose motions and 0 are vomiting after using pond water.
V2,2025-02-20,7.26,2.64,295.7,0.9,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water."
V2,2025-02-21,7.25,2.2,349.0,2.5,0,0,0,"There are 0 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking river water."
V2,2025-02-22,7.27,3.25,311.3,2.3,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking river water."
V2,2025-02-23,7.26,2.9,351.1,5.6,0,0,0,Today 0 people have loose motions and 0 are vomiting after using handpump water.
V2,2025-02-24,7.22,2.1,357.8,0.3,2,0,0,Today 2 people have loose motions and 0 are vomiting after using handpump water.
V2,2025-02-25,7.23,1.79,324.1,5.7,3,0,1,"There are 3 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking pond water."
V2,2025-02-26,7.29,2.48,366.1,4.4,1,0,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: handpump.
V2,2025-02-27,7.24,5.23,328.8,7.0,2,0,1,2 persons reported diarrhea and 0 vomiting today. Water source was pond.
V2,2025-02-28,7.27,2.25,329.9,7.8,0,0,0,0 persons reported diarrhea and 0 vomiting today. Water source was pond.
V2,2025-03-01,7.24,3.1,413.0,5.8,1,1,1,"There are 1 loose motion cases, 1 vomiting cases and 1 fever cases today after drinking handpump water."
V3,2025-01-01,7.04,1.09,382.0,3.9,0,1,1,"There are 0 loose motion cases, 1 vomiting cases and 1 fever cases today after drinking pond water."
V3,2025-01-02,7.01,3.14,323.1,7.3,1,1,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: pond.
V3,2025-01-03,7.03,1.0,303.8,3.6,2,1,1,2 persons reported diarrhea and 1 vomiting today. Water source was river.
V3,2025-01-04,7.03,2.84,298.7,3.6,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water."
V3,2025-01-05,7.01,2.57,337.1,5.7,3,0,0,Today 3 people have loose motions and 0 are vomiting after using handpump water.
V3,2025-01-06,7.05,4.35,352.1,0.5,0,0,0,Today 0 people have loose motions and 0 are vomiting after using pond water.
V3,2025-01-07,7.05,2.08,355.6,2.5,2,0,1,2 persons reported diarrhea and 0 vomiting today. Water source was pond.
V3,2025-01-08,7.0,6.51,375.8,32.3,2,1,1,"There are 2 loose motion cases, 1 vomiting cases and 1 fever cases today after drinking pond water."
V3,2025-01-09,7.02,3.5,446.1,6.7,2,2,0,"There are 2 loose motion cases, 2 vomiting cases and 0 fever cases today after drinking river water."
V3,2025-01-10,6.98,2.61,361.9,3.2,2,2,1,"There are 2 loose motion cases, 2 vomiting cases and 1 fever cases today after drinking pond water."
V3,2025-01-11,6.94,1.38,391.9,7.0,2,1,0,2 persons reported diarrhea and 1 vomiting today. Water source was pond.
V3,2025-01-12,6.87,6.64,284.3,33.0,1,0,0,Today 1 people have loose motions and 0 are vomiting after using river water.
V3,2025-01-13,6.84,2.95,393.6,1.8,1,1,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: river.
V3,2025-01-14,6.77,7.82,284.2,33.6,4,2,0,Field worker noticed 4 diarrhea cases and 0 fever cases in the village. Source: river.
V3,2025-01-15,6.79,7.91,342.4,45.9,0,0,0,"There are 0 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking river water."
V3,2025-01-16,6.8,3.51,405.7,2.5,3,1,0,3 persons reported diarrhea and 1 vomiting today. Water source was pond.
V3,2025-01-17,6.81,4.32,356.4,1.5,4,0,3,4 persons reported diarrhea and 0 vomiting today. Water source was river.
V3,2025-01-18,6.83,1.64,298.1,1.8,1,1,0,Today 1 people have loose motions and 1 are vomiting after using pond water.
V3,2025-01-19,6.89,2.11,323.1,2.2,1,0,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: handpump.
V3,2025-01-20,6.88,3.28,344.8,6.9,0,1,0,Today 0 people have loose motions and 1 are vomiting after using pond water.
V3,2025-01-21,7.01,2.56,317.9,3.1,1,2,0,"There are 1 loose motion cases, 2 vomiting cases and 0 fever cases today after drinking handpump water."
V3,2025-01-22,6.99,4.41,341.9,4.6,0,1,0,0 persons reported diarrhea and 1 vomiting today. Water source was handpump.
V3,2025-01-23,6.96,2.75,359.4,2.8,2,0,0,Today 2 people have loose motions and 0 are vomiting after using pond water.
V3,2025-01-24,6.99,1.63,427.9,8.0,1,0,0,Today 1 people have loose motions and 0 are vomiting after using pond water.
V3,2025-01-25,7.02,1.31,313.4,1.4,1,0,1,Today 1 people have loose motions and 0 are vomiting after using handpump water.
V3,2025-01-26,6.97,2.42,337.3,1.9,4,1,1,4 persons reported diarrhea and 1 vomiting today. Water source was handpump.
V3,2025-01-27,6.92,1.88,321.8,6.3,2,0,0,Today 2 people have loose motions and 0 are vomiting after using river water.
V3,2025-01-28,6.92,2.41,383.5,4.1,2,1,1,2 persons reported diarrhea and 1 vomiting today. Water source was handpump.
V3,2025-01-29,6.95,3.6,329.7,6.9,1,1,2,Today 1 people have loose motions and 1 are vomiting after using handpump water.
V3,2025-01-30,6.95,8.6,382.7,54.5,2,0,0,Today 2 people have loose motions and 0 are vomiting after using handpump water.
V3,2025-01-31,6.95,7.39,277.9,34.7,1,0,1,Field worker noticed 1 diarrhea cases and 1 fever cases in the village. Source: river.
V3,2025-02-01,6.94,2.6,409.6,5.2,2,2,0,2 persons reported diarrhea and 2 vomiting today. Water source was river.
V3,2025-02-02,6.91,6.38,350.6,32.1,5,1,2,Field worker noticed 5 diarrhea cases and 2 fever cases in the village. Source: handpump.
V3,2025-02-03,6.94,2.2,380.4,3.3,1,0,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: pond.
V3,2025-02-04,6.96,5.29,290.8,30.4,0,0,3,0 persons reported diarrhea and 0 vomiting today. Water source was river.
V3,2025-02-05,7.02,7.66,343.7,41.9,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.
V3,2025-02-06,7.0,1.05,315.0,5.9,4,1,0,Field worker noticed 4 diarrhea cases and 0 fever cases in the village. Source: river.
V3,2025-02-07,6.99,1.0,386.9,0.3,5,1,2,Today 5 people have loose motions and 1 are vomiting after using pond water.
V3,2025-02-08,7.0,4.53,296.1,23.4,0,1,0,Today 0 people have loose motions and 1 are vomiting after using river water.
V3,2025-02-09,7.06,1.5,378.8,0.8,0,0,0,0 persons reported diarrhea and 0 vomiting today. Water source was pond.
V3,2025-02-10,7.13,3.02,299.9,2.4,0,1,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: handpump.
V3,2025-02-11,7.09,8.8,387.1,58.7,2,2,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: pond.
V3,2025-02-12,7.03,3.04,280.5,7.4,2,0,0,2 persons reported diarrhea and 0 vomiting today. Water source was pond.
V3,2025-02-13,7.07,1.0,326.7,5.2,7,2,3,Field worker noticed 7 diarrhea cases and 3 fever cases in the village. Source: river.
V3,2025-02-14,7.1,3.02,351.2,1.1,2,0,0,"There are 2 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking pond water."
V3,2025-02-15,7.14,1.3,365.2,4.5,2,0,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: handpump.
V3,2025-02-16,7.12,4.09,360.4,5.8,2,0,1,Today 2 people have loose motions and 0 are vomiting after using handpump water.
V3,2025-02-17,7.05,7.0,305.7,50.4,0,0,2,Field worker noticed 0 diarrhea cases and 2 fever cases in the village. Source: handpump.
V3,2025-02-18,7.09,3.51,293.3,5.8,1,1,1,Today 1 people have loose motions and 1 are vomiting after using handpump water.
V3,2025-02-19,7.06,1.0,357.4,3.8,3,2,2,Field worker noticed 3 diarrhea cases and 2 fever cases in the village. Source: pond.
V3,2025-02-20,7.11,6.78,353.5,33.4,1,0,0,Today 1 people have loose motions and 0 are vomiting after using pond water.
V3,2025-02-21,7.19,7.51,375.2,28.8,3,1,0,3 persons reported diarrhea and 1 vomiting today. Water source was handpump.
V3,2025-02-22,7.09,4.64,299.9,6.7,1,0,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: river.
V3,2025-02-23,7.0,3.0,356.8,2.2,4,0,2,4 persons reported diarrhea and 0 vomiting today. Water source was handpump.
V3,2025-02-24,7.08,5.01,416.5,23.2,1,1,1,Field worker noticed 1 diarrhea cases and 1 fever cases in the village. Source: handpump.
V3,2025-02-25,7.08,2.03,341.9,0.6,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: pond.
V3,2025-02-26,7.07,4.39,349.1,6.1,0,0,1,"There are 0 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking handpump water."
V3,2025-02-27,7.1,2.02,338.7,3.3,0,2,1,Today 0 people have loose motions and 2 are vomiting after using river water.
V3,2025-02-28,7.04,3.21,361.7,2.1,2,0,0,"There are 2 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking pond water."
V3,2025-03-01,7.07,1.13,332.0,1.8,1,0,2,Today 1 people have loose motions and 0 are vomiting after using river water.
