village_id,date,ph,turbidity,orp,rainfall,true_diarrhea,true_vomiting,true_fever,report_text,diarrhea,vomiting,fever,suspected_source,total_risk,status,r_ph,r_turb,r_orp,r_rain,r_health,advisory
V1,2025-01-11,6.82,6.83,360.3,31.6,0,1,2,"There are 0 loose motion cases, 1 vomiting cases and 2 fever cases today after drinking handpump water.",0,1,2,handpump,0.4512727272727272,YELLOW,0.0,0.5,0.1,0.8933333333333333,0.5909090909090908,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V1,2025-01-12,6.88,6.38,338.3,29.1,1,1,0,"There are 1 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water.",1,1,0,pond,0.4995681818181818,YELLOW,0.0,0.5,0.1,0.8516666666666667,0.7727272727272726,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-13,6.9,6.4,425.4,33.5,3,1,0,Field worker noticed 3 diarrhea cases and 0 fever cases in the village. Source: handpump.,3,0,0,handpump,0.57875,RED,0.0,0.5,0.1,0.925,1.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-14,6.87,8.04,350.2,44.4,2,0,2,2 persons reported diarrhea and 0 vomiting today. Water source was pond.,1,0,0,pond,0.4263636363636364,YELLOW,0.0,0.5,0.1,1.0,0.4545454545454545,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V1,2025-01-15,6.82,4.2,406.1,6.1,2,1,0,"There are 2 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking handpump water.",2,1,0,handpump,0.4,YELLOW,0.0,0.1,0.1,0.4,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-16,6.74,6.19,352.7,43.6,3,1,1,Field worker noticed 3 diarrhea cases and 1 fever cases in the village. Source: river.,3,0,1,river,0.5900000000000001,RED,0.0,0.5,0.1,1.0,1.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-17,6.68,4.18,359.1,7.0,1,0,2,1 persons reported diarrhea and 0 vomiting today. Water source was pond.,1,0,0,pond,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-18,6.71,3.99,361.9,2.8,3,0,2,Today 3 people have loose motions and 0 are vomiting after using river water.,3,1,0,river,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-19,6.73,9.79,302.3,46.5,1,0,1,"There are 1 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking pond water.",1,0,1,pond,0.4672727272727273,YELLOW,0.0,0.5,0.1,1.0,0.5909090909090908,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V1,2025-01-20,6.69,4.11,355.8,5.3,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: pond.,0,0,0,pond,0.1,GREEN,0.0,0.1,0.1,0.4,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-21,6.73,3.0,350.5,3.1,4,0,1,Field worker noticed 4 diarrhea cases and 1 fever cases in the village. Source: river.,4,0,1,river,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-22,6.72,4.62,378.6,7.6,0,1,3,"There are 0 loose motion cases, 1 vomiting cases and 3 fever cases today after drinking pond water.",0,1,3,pond,0.3181818181818181,YELLOW,0.0,0.1,0.1,0.4,0.7272727272727272,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-23,6.69,2.28,378.4,6.8,2,2,0,Today 2 people have loose motions and 2 are vomiting after using handpump water.,2,1,0,handpump,0.4,YELLOW,0.0,0.1,0.1,0.4,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-24,6.75,3.0,392.2,5.9,0,0,2,Today 0 people have loose motions and 0 are vomiting after using river water.,0,1,0,river,0.1954545454545454,GREEN,0.0,0.1,0.1,0.4,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-25,6.75,4.18,403.2,4.1,2,0,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: handpump.,2,0,0,handpump,0.3277272727272727,YELLOW,0.0,0.1,0.1,0.1,0.9090909090909092,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-26,6.86,3.37,275.3,0.3,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.,0,0,0,handpump,0.0999999999999999,GREEN,0.0,0.1,0.4,0.1,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-27,6.85,7.74,412.4,52.9,0,1,0,0 persons reported diarrhea and 1 vomiting today. Water source was handpump.,1,1,0,handpump,0.5218181818181817,YELLOW,0.0,0.5,0.1,1.0,0.7727272727272726,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-28,6.92,3.3,383.2,4.3,2,1,0,Today 2 people have loose motions and 1 are vomiting after using handpump water.,2,1,0,handpump,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-29,7.0,4.03,336.6,21.0,3,2,1,3 persons reported diarrhea and 2 vomiting today. Water source was pond.,1,2,0,pond,0.4475,YELLOW,0.0,0.1,0.1,0.7166666666666667,1.0,Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-01-30,7.06,2.26,321.7,2.0,0,0,0,Today 0 people have loose motions and 0 are vomiting after using river water.,0,1,0,river,0.1504545454545454,GREEN,0.0,0.1,0.1,0.1,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-01-31,7.16,8.46,349.2,54.2,1,0,0,Today 1 people have loose motions and 0 are vomiting after using pond water.,1,1,0,pond,0.5218181818181817,YELLOW,0.0,0.5,0.1,1.0,0.7727272727272726,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-01,7.15,2.39,331.4,5.1,1,1,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: river.,1,0,0,river,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-02,7.13,7.75,354.5,45.7,5,2,0,Field worker noticed 5 diarrhea cases and 0 fever cases in the village. Source: river.,5,0,0,river,0.5900000000000001,RED,0.0,0.5,0.1,1.0,1.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-03,7.14,5.8,325.1,20.7,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: pond.,0,0,1,pond,0.2876590909090909,YELLOW,0.0,0.5,0.1,0.7116666666666666,0.1363636363636363,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V1,2025-02-04,7.11,3.11,386.0,2.3,3,3,1,3 persons reported diarrhea and 3 vomiting today. Water source was river.,1,3,0,river,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-05,7.1,3.46,394.0,7.4,2,1,1,Field worker noticed 2 diarrhea cases and 1 fever cases in the village. Source: handpump.,2,0,1,handpump,0.4,YELLOW,0.0,0.1,0.1,0.4,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-06,7.07,2.39,426.5,3.1,1,0,1,Today 1 people have loose motions and 0 are vomiting after using handpump water.,1,1,0,handpump,0.2868181818181817,YELLOW,0.0,0.1,0.1,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-07,7.07,4.02,314.1,6.3,0,0,0,0 persons reported diarrhea and 0 vomiting today. Water source was handpump.,1,0,0,handpump,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-08,7.13,3.29,332.7,2.8,2,0,1,2 persons reported diarrhea and 0 vomiting today. Water source was handpump.,1,0,0,handpump,0.1913636363636363,GREEN,0.0,0.1,0.1,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-09,7.1,3.26,404.4,6.5,0,1,0,"There are 0 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water.",0,1,0,pond,0.1954545454545454,GREEN,0.0,0.1,0.1,0.4,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-10,7.1,2.08,322.7,0.9,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: river.,0,0,1,river,0.0959090909090909,GREEN,0.0,0.1,0.1,0.1,0.1363636363636363,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-11,7.03,3.05,316.2,7.7,1,1,1,1 persons reported diarrhea and 1 vomiting today. Water source was handpump.,1,1,0,handpump,0.3318181818181818,YELLOW,0.0,0.1,0.1,0.4,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-12,7.03,3.24,441.0,4.2,1,1,1,Field worker noticed 1 diarrhea cases and 1 fever cases in the village. Source: handpump.,1,0,1,handpump,0.2322727272727272,GREEN,0.0,0.1,0.1,0.1,0.5909090909090908,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-13,7.03,3.59,389.1,7.6,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was pond.,1,0,0,pond,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-14,7.04,1.0,372.9,4.7,0,3,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: pond.,0,0,1,pond,0.0959090909090909,GREEN,0.0,0.1,0.1,0.1,0.1363636363636363,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-15,7.1,3.89,331.2,6.9,1,0,0,Field worker noticed 1 diarrhea cases and 0 fever cases in the village. Source: river.,1,0,0,river,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-16,7.17,3.02,286.2,6.7,0,4,3,0 persons reported diarrhea and 4 vomiting today. Water source was pond.,1,4,0,pond,0.4449999999999999,YELLOW,0.0,0.1,0.4,0.4,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-17,7.17,1.78,370.6,1.0,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.,0,0,0,handpump,0.055,GREEN,0.0,0.1,0.1,0.1,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-18,7.18,9.32,397.2,46.9,1,1,0,"There are 1 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking pond water.",1,1,0,pond,0.5218181818181817,YELLOW,0.0,0.5,0.1,1.0,0.7727272727272726,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-19,7.25,8.88,385.1,50.2,0,0,0,"There are 0 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking river water.",0,0,0,river,0.29,YELLOW,0.0,0.5,0.1,1.0,0.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V1,2025-02-20,7.15,2.13,339.2,4.7,6,2,2,Field worker noticed 6 diarrhea cases and 2 fever cases in the village. Source: pond.,6,0,2,pond,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-21,7.14,3.5,347.0,5.1,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was pond.,1,0,0,pond,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-22,7.13,3.22,432.2,1.5,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.,0,0,0,handpump,0.055,GREEN,0.0,0.1,0.1,0.1,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-23,7.12,2.22,308.6,2.2,0,0,0,"There are 0 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water.",0,0,0,handpump,0.055,GREEN,0.0,0.1,0.1,0.1,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-24,7.18,2.74,384.1,0.3,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water.",1,0,0,handpump,0.1913636363636363,GREEN,0.0,0.1,0.1,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-25,7.15,2.2,262.3,4.9,1,0,2,1 persons reported diarrhea and 0 vomiting today. Water source was river.,1,0,0,river,0.2363636363636363,GREEN,0.0,0.1,0.4,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-26,7.03,3.81,317.6,0.9,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking pond water.",1,0,0,pond,0.1913636363636363,GREEN,0.0,0.1,0.1,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V1,2025-02-27,7.04,1.53,386.4,1.0,2,0,0,Today 2 people have loose motions and 0 are vomiting after using pond water.,2,1,0,pond,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-02-28,7.03,1.81,315.0,6.0,2,1,0,2 persons reported diarrhea and 1 vomiting today. Water source was pond.,1,1,0,pond,0.3318181818181818,YELLOW,0.0,0.1,0.1,0.4,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V1,2025-03-01,7.0,3.9,330.5,26.1,0,0,0,0 persons reported diarrhea and 0 vomiting today. Water source was handpump.,1,0,0,handpump,0.2966136363636363,YELLOW,0.0,0.1,0.1,0.8016666666666666,0.4545454545454545,Recent rainfall may increase contamination risk. Increase monitoring frequency.
V2,2025-01-01,7.66,7.44,340.4,41.0,3,0,2,"There are 3 loose motion cases, 0 vomiting cases and 2 fever cases today after drinking handpump water.",3,0,2,handpump,0.5900000000000001,RED,0.0,0.5,0.1,1.0,1.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-02,7.63,1.99,372.8,2.2,0,0,0,Today 0 people have loose motions and 0 are vomiting after using handpump water.,0,1,0,handpump,0.1504545454545454,GREEN,0.0,0.1,0.1,0.1,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-03,7.67,1.0,304.4,0.9,2,1,0,"There are 2 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking river water.",2,1,0,river,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-04,7.64,2.66,380.4,2.6,2,0,0,"There are 2 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking handpump water.",2,0,0,handpump,0.3277272727272727,YELLOW,0.0,0.1,0.1,0.1,0.9090909090909092,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-05,7.61,3.49,353.5,7.4,2,1,0,Field worker noticed 2 diarrhea cases and 0 fever cases in the village. Source: handpump.,2,0,0,handpump,0.3727272727272727,YELLOW,0.0,0.1,0.1,0.4,0.9090909090909092,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-06,7.62,2.92,433.0,6.5,0,1,1,Today 0 people have loose motions and 1 are vomiting after using handpump water.,0,1,0,handpump,0.1954545454545454,GREEN,0.0,0.1,0.1,0.4,0.3181818181818181,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-07,7.58,3.74,286.8,3.7,1,0,1,Today 1 people have loose motions and 0 are vomiting after using handpump water.,1,1,0,handpump,0.3318181818181817,YELLOW,0.0,0.1,0.4,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-08,7.51,9.24,395.8,57.6,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.,0,0,0,handpump,0.29,YELLOW,0.0,0.5,0.1,1.0,0.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V2,2025-01-09,7.47,3.07,383.2,6.3,0,0,2,Field worker noticed 0 diarrhea cases and 2 fever cases in the village. Source: handpump.,0,0,2,handpump,0.1818181818181818,GREEN,0.0,0.1,0.1,0.4,0.2727272727272727,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-10,7.53,1.51,332.2,0.9,2,4,1,Field worker noticed 2 diarrhea cases and 1 fever cases in the village. Source: pond.,2,0,1,pond,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-11,7.41,1.8,357.2,4.7,1,2,2,1 persons reported diarrhea and 2 vomiting today. Water source was river.,1,2,0,river,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-12,7.35,5.35,425.5,4.6,3,0,2,Today 3 people have loose motions and 0 are vomiting after using river water.,3,1,0,river,0.455,YELLOW,0.0,0.5,0.1,0.1,1.0,High water turbidity risk detected. Inspect filtration units and intake points. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-13,7.37,5.82,326.5,7.0,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.,0,0,0,handpump,0.2,GREEN,0.0,0.5,0.1,0.4,0.0,High water turbidity risk detected. Inspect filtration units and intake points.
V2,2025-01-14,7.36,2.87,375.1,4.3,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was handpump.,1,0,0,handpump,0.1913636363636363,GREEN,0.0,0.1,0.1,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-15,7.3,2.37,382.2,1.1,1,1,1,Today 1 people have loose motions and 1 are vomiting after using handpump water.,1,1,0,handpump,0.2868181818181817,YELLOW,0.0,0.1,0.1,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-16,7.26,2.18,343.4,1.2,2,0,1,Field worker noticed 2 diarrhea cases and 1 fever cases in the village. Source: handpump.,2,0,1,handpump,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-17,7.2,4.95,405.5,1.6,1,0,0,1 persons reported diarrhea and 0 vomiting today. Water source was handpump.,1,0,0,handpump,0.1913636363636363,GREEN,0.0,0.1,0.1,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-18,7.19,1.0,371.1,6.9,0,1,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: pond.,0,0,0,pond,0.1,GREEN,0.0,0.1,0.1,0.4,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-19,7.19,2.68,321.8,5.7,1,0,1,Today 1 people have loose motions and 0 are vomiting after using pond water.,1,1,0,pond,0.3318181818181818,YELLOW,0.0,0.1,0.1,0.4,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-20,7.18,1.73,335.0,1.9,3,1,0,Field worker noticed 3 diarrhea cases and 0 fever cases in the village. Source: handpump.,3,0,0,handpump,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-21,7.27,1.0,300.3,0.1,1,0,1,Today 1 people have loose motions and 0 are vomiting after using river water.,1,1,0,river,0.2868181818181817,YELLOW,0.0,0.1,0.1,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-22,7.28,1.69,346.1,3.5,1,1,2,Field worker noticed 1 diarrhea cases and 2 fever cases in the village. Source: pond.,1,0,2,pond,0.2731818181818182,YELLOW,0.0,0.1,0.1,0.1,0.7272727272727273,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-23,7.31,7.99,325.1,30.7,3,0,0,3 persons reported diarrhea and 0 vomiting today. Water source was river.,1,0,0,river,0.4081136363636363,YELLOW,0.0,0.5,0.1,0.8783333333333333,0.4545454545454545,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency.
V2,2025-01-24,7.23,2.37,372.1,0.9,1,1,0,1 persons reported diarrhea and 1 vomiting today. Water source was pond.,1,1,0,pond,0.2868181818181817,YELLOW,0.0,0.1,0.1,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-25,7.28,9.17,416.6,56.0,3,1,0,Today 3 people have loose motions and 1 are vomiting after using handpump water.,3,1,0,handpump,0.5900000000000001,RED,0.0,0.5,0.1,1.0,1.0,High water turbidity risk detected. Inspect filtration units and intake points. Recent rainfall may increase contamination risk. Increase monitoring frequency. Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-26,7.21,3.86,373.2,0.7,1,0,1,"There are 1 loose motion cases, 0 vomiting cases and 1 fever cases today after drinking pond water.",1,0,1,pond,0.2322727272727272,GREEN,0.0,0.1,0.1,0.1,0.5909090909090908,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-27,7.22,3.27,315.7,3.8,1,1,2,1 persons reported diarrhea and 1 vomiting today. Water source was pond.,1,1,0,pond,0.2868181818181817,YELLOW,0.0,0.1,0.1,0.1,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-28,7.23,3.08,336.6,0.9,1,0,0,"There are 1 loose motion cases, 0 vomiting cases and 0 fever cases today after drinking pond water.",1,0,0,pond,0.1913636363636363,GREEN,0.0,0.1,0.1,0.1,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-01-29,7.28,1.94,279.5,6.4,0,1,1,0 persons reported diarrhea and 1 vomiting today. Water source was handpump.,1,1,0,handpump,0.3768181818181817,YELLOW,0.0,0.1,0.4,0.4,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-30,7.29,3.83,374.4,4.3,2,1,0,"There are 2 loose motion cases, 1 vomiting cases and 0 fever cases today after drinking river water.",2,1,0,river,0.355,YELLOW,0.0,0.1,0.1,0.1,1.0,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-01-31,7.3,3.7,360.9,7.9,1,1,3,1 persons reported diarrhea and 1 vomiting today. Water source was pond.,1,1,0,pond,0.3318181818181818,YELLOW,0.0,0.1,0.1,0.4,0.7727272727272726,Public health indicators suggest elevated risk. Use only boiled or treated water for drinking.
V2,2025-02-01,7.35,1.84,329.4,6.8,0,0,0,Field worker noticed 0 diarrhea cases and 0 fever cases in the village. Source: handpump.,0,0,0,handpump,0.1,GREEN,0.0,0.1,0.1,0.4,0.0,Water sources appear safe. Continue routine monitoring and standard operations.
V2,2025-02-02,7.42,3.88,339.6,23.1,0,0,1,Field worker noticed 0 diarrhea cases and 1 fever cases in the village. Source: river.,0,0,1,river,0.1936590909090909,GREEN,0.0,0.1,0.1,0.7516666666666666,0.1363636363636363,Recent rainfall may increase contamination risk. Increase monitoring frequency.
V2,2025-02-03,7.35,3.31,373.4,7.1,0,1,1,"There are 0 loose motion cases, 1 vomiting cases and 1 fever cases today after drinking river water.",0,1,1,river,0.2363636363636363,GREEN,0.0,0.1,0.1,0.4,0.4545454545454545,Water sources appear safe. Continue routine monitoring and standard operations.
